title,year,genre,country,imdbRating,imdbVotes
Miracle on 34th Street,1994,"Family, Fantasy",USA,6.4,19073
Stealing Beauty,1996,"Drama, Romance","Italy, France, UK",6.6,19093
A Prairie Home Companion,2006,"Comedy, Drama, Music",USA,6.9,19096
The Act of Killing,2012,"Documentary, History","Denmark, Norway, UK",8.2,19107
Victory,1981,"Action, Drama, Sport","USA, UK",6.6,19108
White Christmas,1954,"Comedy, Musical, Romance",USA,7.6,19108
The Rules of the Game,1939,"Comedy, Drama, Romance",France,8.1,19112
The Sunset Limited,2011,Drama,USA,7.4,19122
Hot Tub Time Machine 2,2015,"Comedy, Sci-Fi",USA,5.1,19124
24,2008,"Action, Adventure, Crime",USA,7.5,19125
The Quiet Earth,1985,"Drama, Mystery, Sci-Fi",New Zealand,6.9,19127
Silent Running,1972,"Drama, Sci-Fi",USA,6.7,19128
2:22 - Il destino è già scritto,2017,"Drama, Mystery, Sci-Fi","Australia, USA",5.8,19143
Deep Red,1975,"Horror, Mystery, Romance",Italy,7.7,19144
Aile Arasinda,2017,Comedy,Turkey,7.7,19152
Knockaround Guys,2001,"Crime, Drama, Thriller",USA,6.1,19161
Raise the Red Lantern,1991,Drama,"China, Hong Kong, Taiwan",8.2,19181
Impostor,2001,"Drama, Sci-Fi, Thriller",USA,6.2,19198
Strictly Ballroom,1992,"Comedy, Drama, Romance",Australia,7.3,19203
Cake,2014,Drama,USA,6.5,19207
Alex Rider: Operation Stormbreaker,2006,"Action, Adventure, Family","Germany, USA, UK",5.1,19212
Dirty Work,1998,Comedy,"Canada, USA",6.4,19216
King of California,2007,"Comedy, Drama",USA,6.7,19230
The World According to Garp,1982,"Comedy, Drama",USA,7.2,19237
Celebrity,1998,"Comedy, Drama",USA,6.3,19244
Dirty Work,1998,Comedy,"Canada, USA",6.4,19273
Major League II,1994,"Comedy, Sport",USA,5.4,19276
Inherit the Wind,1960,"Drama, History",USA,8.2,19279
Super 30,2019,"Biography, Drama",India,8.0,19284
Point of No Return,1993,"Action, Crime, Drama",USA,5.9,19300
A Charlie Brown Christmas,1965,"Animation, Comedy, Family",USA,8.4,19300
FernGully: The Last Rainforest,1992,"Animation, Adventure, Family","Australia, USA",6.4,19302
Your Sister's Sister,2011,"Comedy, Drama",USA,6.7,19304
Friday the 13th Part VII: The New Blood,1988,Horror,USA,5.2,19310
The Cross of Iron,1977,"Drama, War","UK, West Germany",7.5,19328
The Little Hours,2017,"Comedy, Romance",Canada,5.8,19336
Good Burger,1997,Comedy,USA,5.6,19349
Repo! The Genetic Opera,2008,"Horror, Musical, Sci-Fi",USA,6.7,19351
To Live and Die in L.A.,1985,"Action, Crime, Drama",USA,7.2,19363
Ratsasan,2018,"Action, Crime, Thriller",India,8.7,19367
The Thin Man,1934,"Comedy, Crime, Mystery",USA,8.2,19369
Cross of Iron,1977,"Drama, War","UK, West Germany",7.5,19404
Breaking and Entering,2006,"Drama, Romance","UK, USA",6.6,19419
Open Grave,2013,"Horror, Mystery, Thriller",USA,6.3,19426
The Kid with a Bike,2011,Drama,"Belgium, France, Italy",7.4,19426
Mask,1985,"Biography, Drama",USA,7.2,19438
The China Syndrome,1979,"Drama, Thriller",USA,7.4,19444
Running with Scissors,2006,"Comedy, Drama",USA,6.2,19446
Angry Birds 2 - Nemici amici per sempre,2019,"Animation, Adventure, Comedy","Finland, USA",6.4,19452
The Boys from Brazil,1978,"Sci-Fi, Thriller","UK, USA",7,19452
Maggie,2015,"Drama, Horror, Thriller",UK,5.6,19469
Vera Drake,2004,"Crime, Drama","UK, France",7.7,19479
The Getaway,1972,"Action, Crime, Thriller",USA,7.5,19487
24,2008,"Action, Adventure, Crime",USA,7.5,19505
Secretariat,2010,"Drama, Family, History",USA,7.2,19507
Georgia Rule,2007,"Comedy, Drama",USA,5.9,19510
Undisputed,2002,"Action, Crime, Drama","USA, Germany",6.1,19514
The Contract,2006,"Action, Crime, Drama","Germany, USA",5.7,19517
"War, Inc.",2008,"Action, Comedy, Thriller",USA,5.7,19520
iBoy,2017,"Action, Crime, Sci-Fi",UK,6.0,19522
"War, Inc.",2008,"Action, Comedy, Thriller",USA,5.7,19531
Tanhaji: The Unsung Warrior,2020,"Action, Biography, Drama",India,7.6,19532
Last Holiday,2006,"Adventure, Comedy, Drama",USA,6.3,19543
The Outsider,2018,"Action, Crime, Drama",USA,6.3,19548
Una preghiera prima dell'alba,2017,"Biography, Crime, Drama","UK, France, China, Cambodia, USA, Germany",6.9,19566
The Indian in the Cupboard,1995,"Family, Adventure, Fantasy",USA,5.9,19572
Ölümlü Dünya,2018,"Action, Comedy",Turkey,7.7,19574
The Secret of Kells,2009,"Animation, Adventure, Family","France, Belgium, Ireland",7.7,19578
The Grifters,1990,"Crime, Drama, Thriller",USA,7,19604
The Ladykillers,1955,"Comedy, Crime",UK,7.8,19615
Mirrormask,2005,"Adventure, Drama, Family","UK, USA",7,19624
"To Wong Foo Thanks for Everything, Julie Newmar",1995,"Comedy, Drama",USA,6.3,19635
Heartbreaker,2010,"Comedy, Romance","France, Monaco",6.8,19641
Mom and Dad,2017,"Comedy, Horror, Thriller","USA, UK",5.5,19643
13 Sins,2014,"Comedy, Horror, Thriller",USA,6.3,19643
Runaway Train,1985,"Action, Adventure, Drama",USA,7.3,19652
Runaway Train,1985,"Action, Adventure, Drama",USA,7.3,19662
The Langoliers,1995,"Horror, Mystery, Sci-Fi",USA,6.1,19667
Heaven,2002,"Crime, Drama, Romance","Germany, Italy, USA, France, UK",7.1,19672
Amazing Grace,2006,"Biography, Drama, History","UK, USA",7.5,19698
Annie,2014,"Comedy, Drama, Family",USA,5.2,19717
Somewhere in Time,1980,"Drama, Fantasy, Romance",USA,7.3,19745
Barbershop,2002,"Comedy, Drama",USA,6.3,19763
Red River,1948,"Action, Adventure, Romance",USA,7.8,19788
Broadcast News,1987,"Comedy, Drama, Romance",USA,7.2,19810
Secret Superstar,2017,"Drama, Music",India,7.9,19811
View from the Top,2003,"Comedy, Romance",USA,5.2,19812
Jeremiah Johnson,1972,"Adventure, Drama, Western",USA,7.6,19816
Instructions Not Included,2013,"Comedy, Drama",Mexico,7.6,19818
Julia's Eyes,2010,"Horror, Mystery, Thriller",Spain,6.6,19820
Cleopatra,1963,"Biography, Drama, History","UK, USA, Switzerland",7,19826
Jesus Camp,2006,"Documentary, Drama",USA,7.5,19839
Husbands and Wives,1992,"Comedy, Drama, Romance",USA,7.6,19844
La notte su di noi,2018,"Action, Thriller","Indonesia, USA",7.0,19850
Emma.,2020,"Comedy, Drama",UK,6.7,19858
The Contender,2000,"Drama, Thriller","USA, Germany, UK",7,19858
Rogue,2007,"Action, Adventure, Horror","Australia, USA, UK",6.2,19860
Il culto di Chucky,2017,"Comedy, Fantasy, Horror",USA,5.2,19863
In the House,2012,"Comedy, Drama, Mystery",France,7.4,19864
Cutthroat Island,1995,"Action, Adventure, Comedy","USA, France, Italy, Germany",5.6,19865
Hera Pheri,2000,"Comedy, Crime, Thriller",India,8.5,19876
DuckTales the Movie: Treasure of the Lost Lamp,1990,"Animation, Adventure, Comedy","France, USA",6.9,19877
The Holy Mountain,1973,"Drama, Fantasy",USA,7.9,19892
Pontypool,2008,"Horror, Thriller",Canada,6.7,19894
The Way,2010,"Adventure, Comedy, Drama","USA, Spain",7.4,19895
Hard to Kill,1990,"Action, Drama, Crime",USA,5.7,19896
Sherlock Jr.,1924,"Comedy, Family, Fantasy",USA,8.3,19908
Arjun Reddy,2017,"Action, Drama, Romance",India,8.1,19911
Buffalo Soldiers,2001,"Comedy, Crime, Drama","UK, Germany",6.9,19914
All the King's Men,2006,"Drama, Thriller","Germany, USA",6.2,19917
Close,2019,"Action, Drama, Thriller","UK, USA",5.7,19924
Sleep Tight,2011,"Drama, Horror, Thriller",Spain,7.2,19924
Pump Up the Volume,1990,"Comedy, Drama, Music","Canada, USA",7.1,19927
Serial Mom,1994,"Comedy, Crime, Horror",USA,6.7,19956
Winter Sleep,2014,Drama,"Turkey, Germany, France",8.3,19960
Fireworks,1997,"Crime, Drama, Romance",Japan,7.9,19964
The Hills Have Eyes,1977,"Horror, Thriller",USA,6.4,19968
The Black Cauldron,1985,"Animation, Adventure, Family",USA,6.4,19982
He Was a Quiet Man,2007,"Comedy, Drama, Romance",USA,6.9,19982
Bright Star,2009,"Biography, Drama, Romance","UK, Australia, France",7,19990
La Bamba,1987,"Biography, Drama, Music",USA,6.8,19998
An American in Paris,1951,"Musical, Romance",USA,7.3,20005
Village of the Damned,1995,"Horror, Sci-Fi, Thriller",USA,5.6,20013
What Men Want,2019,"Comedy, Fantasy, Romance",USA,5.2,20016
Joyeux Noel,2005,"Drama, History, Music","France, Germany, UK, Belgium, Romania, Norway, Japan",7.8,20018
On Golden Pond,1981,Drama,"UK, USA",7.7,20026
Fitzcarraldo,1982,"Adventure, Biography, Drama","West Germany, Peru",8.2,20045
Before Night Falls,2000,"Biography, Drama",USA,7.3,20051
Barney's Version,2010,"Comedy, Drama","Canada, Italy",7.3,20054
Black Christmas,1974,"Horror, Thriller",Canada,7.3,20055
My Stepmother Is an Alien,1988,"Comedy, Romance, Sci-Fi",USA,5.2,20063
Mister Link,2019,"Animation, Adventure, Comedy","Canada, USA",6.7,20080
Parental Guidance,2012,"Comedy, Family",USA,6,20082
Padman,2018,"Comedy, Drama",India,7.9,20084
Fast Food Nation,2006,"Comedy, Drama, Romance","UK, USA",6.3,20085
Outland,1981,"Action, Crime, Sci-Fi",UK,6.6,20092
OMG: Oh My God!,2012,"Comedy, Drama, Family",India,8.2,20094
The Breath,2009,"Action, Drama, Thriller",Turkey,8.1,20104
Howards End,1992,"Drama, Romance","UK, Japan, USA",7.5,20127
The Pillars of the Earth,2010,"Drama, History, Romance","Germany, Canada, UK",8.2,20130
Hollywood Ending,2002,"Comedy, Romance",USA,6.6,20138
OMG: Oh My God!,2012,"Comedy, Drama, Family",India,8.2,20146
Metro,1997,"Action, Comedy, Crime",USA,5.5,20179
The Resident,2011,"Drama, Thriller","UK, USA",5.2,20186
"Duck, You Sucker",1971,Western,"Italy, Spain",7.7,20198
Major Payne,1995,Comedy,USA,6.1,20203
My Life Without Me,2003,"Drama, Romance","Spain, Canada",7.6,20212
Bugsy,1991,"Biography, Crime, Drama",USA,6.8,20217
Ruby & Quentin,2003,"Comedy, Crime","France, Italy",7.1,20217
The Ice Harvest,2005,"Comedy, Crime, Drama",USA,6.3,20222
Peeping Tom,1960,"Drama, Horror, Thriller",UK,7.8,20223
Waking Ned Devine,1998,Comedy,"UK, Ireland, France, USA",7.4,20226
Curse of Chucky,2013,"Crime, Horror",USA,5.6,20229
Angels in the Outfield,1994,"Comedy, Family, Fantasy",USA,6,20236
"Yours, Mine & Ours",2005,"Comedy, Family, Fantasy",USA,5.3,20242
Back to School,1986,"Comedy, Romance, Sport",USA,6.5,20254
Now and Then,1995,"Comedy, Drama",USA,6.7,20265
Smart People,2008,"Comedy, Drama, Romance",USA,6.2,20283
L'inganno perfetto,2019,"Crime, Drama, Mystery","UK, Germany, USA",6.6,20297
Damien: Omen II,1978,"Drama, Horror",USA,6.2,20325
Calibre,2018,"Drama, Thriller",UK,6.8,20328
2.0,2018,"Action, Sci-Fi",India,6.3,20351
An Affair to Remember,1957,"Drama, Romance",USA,7.6,20358
Parmanu: The Story of Pokhran,2018,"Action, Drama, History",India,7.6,20366
Adore,2013,"Drama, Romance","Australia, France",6.2,20371
Arthur,1981,"Comedy, Romance",USA,6.9,20377
Don't Tell Mom the Babysitter's Dead,1991,Comedy,USA,6,20388
The Jane Austen Book Club,2007,"Comedy, Drama, Romance",USA,6.9,20395
Dragon: The Bruce Lee Story,1993,"Action, Biography, Drama",USA,7,20396
Ned Kelly,2003,"Action, Adventure, Biography","Australia, UK, USA, France",6.5,20400
Barnyard,2006,"Animation, Comedy, Family","Germany, USA, Netherlands",5.6,20438
Air America,1990,"Action, Comedy",USA,5.7,20438
Over Her Dead Body,2008,"Comedy, Fantasy, Romance",USA,5.2,20439
"20,000 Leagues Under the Sea",1954,"Adventure, Drama, Family",USA,7.2,20472
You Don't Know Jack,2010,"Biography, Drama",USA,7.7,20482
Ruthless People,1986,"Comedy, Crime",USA,6.8,20483
Murder in the First,1995,"Drama, Thriller","USA, France",7.3,20485
Vanishing Point,1971,"Action, Thriller","USA, UK",7.3,20490
About Elly,2009,"Drama, Mystery","Iran, France",8.2,20497
A Midsummer Night's Dream,1999,"Comedy, Fantasy, Romance","Italy, UK, USA",6.5,20512
Get Carter,1971,"Crime, Thriller",UK,7.5,20512
Domestic Disturbance,2001,"Crime, Mystery, Thriller",USA,5.5,20513
UHF,1989,Comedy,USA,7,20513
A Midsummer Night's Dream,1999,"Comedy, Fantasy, Romance","Italy, UK, USA",6.5,20515
My Name Is Bruce,2007,Comedy,USA,6.3,20519
Dirty Dancing: Havana Nights,2004,"Romance, Drama",USA,6,20540
Yeh Jawaani Hai Deewani,2013,"Drama, Musical, Romance",India,6.8,20552
Max Manus: Man of War,2008,"Action, Biography, Drama","Norway, Denmark, Germany",7.3,20561
Take the Lead,2006,"Drama, Music",USA,6.6,20564
Hours,2013,"Drama, Thriller",USA,6.5,20565
Kundun,1997,"Biography, Drama, History",USA,7,20568
The Changeling,1980,Horror,Canada,7.3,20570
Gentlemen Prefer Blondes,1953,"Comedy, Musical, Romance",USA,7.3,20604
Citizenfour,2014,Documentary,"USA, Germany, UK",8.2,20610
City by the Sea,2002,"Crime, Drama, Mystery",USA,6.2,20612
Don't Worry,2018,"Biography, Comedy, Drama","France, USA",6.9,20615
The Mosquito Coast,1986,"Adventure, Drama, Thriller",USA,6.6,20621
Shopgirl,2005,"Drama, Romance",USA,6.4,20625
Hotel Chevalier,2007,"Short, Drama, Music","USA, France",7.3,20628
Black,2005,Drama,India,8.3,20638
See No Evil,2006,"Horror, Thriller","USA, Australia",5.1,20639
All Eyez on Me,2017,"Biography, Drama, Music",USA,5.8,20641
Crazy/Beautiful,2001,"Drama, Romance",USA,6.5,20649
Drop Dead Fred,1991,"Comedy, Drama, Fantasy","USA, UK",5.8,20652
See No Evil,2006,"Horror, Thriller","USA, Australia",5.1,20671
Mermaids,1990,"Comedy, Drama, Romance",USA,6.6,20687
The Good German,2006,"Drama, Mystery, Thriller",USA,6.1,20692
Above the Law,1988,"Action, Crime, Drama",USA,5.9,20696
The Physician,2013,"Adventure, Drama",Germany,7.2,20703
Birthday Girl,2001,"Comedy, Crime, Thriller","UK, USA",6.1,20718
Always,1989,"Drama, Fantasy, Romance",USA,6.4,20728
A Long Way Down,2014,"Comedy, Drama","UK, Germany",6.4,20743
Halloween 5,1989,"Horror, Thriller",USA,5.1,20751
Miss Pettigrew Lives for a Day,2008,"Comedy, Romance","UK, USA",7.1,20765
The Pink Panther Strikes Again,1976,"Comedy, Crime, Thriller","UK, USA",7.2,20769
A Lonely Place to Die,2011,"Action, Adventure, Crime",UK,6.3,20771
The Loft,2014,"Mystery, Romance, Thriller","Belgium, USA",6.3,20774
A Little Bit of Heaven,2011,"Comedy, Drama, Fantasy",USA,6.3,20775
The Greatest Game Ever Played,2005,"Drama, History, Sport","USA, Canada",7.5,20778
King Kong,1976,"Adventure, Fantasy, Horror",USA,5.8,20784
A Grand Day Out,1989,"Animation, Short, Adventure",UK,7.8,20802
Lord of the Flies,1990,"Adventure, Drama, Thriller",USA,6.4,20805
Problem Child,1990,"Comedy, Family",USA,5.2,20827
The Magdalene Sisters,2002,Drama,"Ireland, UK",7.8,20833
Don,2006,"Action, Crime, Thriller",India,7.2,20851
Ip Man 4,2019,"Action, Biography, Drama","Hong Kong, China",7.1,20858
The Sisterhood of the Traveling Pants 2,2008,"Comedy, Drama, Romance",USA,6.2,20872
Badla,2019,"Crime, Drama, Mystery",India,7.8,20874
Force Majeure,2014,Drama,"Sweden, France, Norway, Denmark",7.4,20880
Millions,2004,"Comedy, Crime, Drama",UK,7,20915
...And Justice for All.,1979,"Crime, Drama, Thriller",USA,7.4,20916
Take This Waltz,2011,"Comedy, Drama","Canada, Spain, Japan",6.6,20931
I See You,2019,"Crime, Drama, Horror",USA,6.8,20948
Casino Royale,1967,Comedy,"UK, USA",5.2,20956
Killer Klowns from Outer Space,1988,"Comedy, Horror, Sci-Fi",USA,6.1,20967
The Howling,1981,Horror,USA,6.6,20975
Phantasm,1979,"Horror, Sci-Fi",USA,6.9,20975
Frozen River,2008,"Crime, Drama",USA,7.2,20978
Frankie and Johnny,1991,"Comedy, Drama, Romance",USA,6.7,20995
Raise Your Voice,2004,"Family, Music, Romance",USA,5.9,21015
The Omega Man,1971,"Action, Sci-Fi, Thriller",USA,6.6,21015
Hard Ball,2001,"Drama, Sport","USA, Germany",6.3,21027
Ricomincio da me,2018,"Comedy, Drama, Romance",USA,5.8,21061
Arrivederci professore,2018,"Comedy, Drama",USA,6.7,21068
Out of the Past,1947,"Drama, Film-Noir, Thriller",USA,8.1,21074
Imagine Me & You,2005,"Comedy, Drama, Romance","UK, Germany",6.9,21077
Stick It,2006,"Comedy, Drama, Sport","Germany, USA",6.4,21080
Dogman,2018,"Crime, Drama, Thriller","Italy, France",7.2,21080
1492: Conquest of Paradise,1992,"Adventure, Biography, Drama","France, Spain",6.5,21082
The Man,2005,"Action, Comedy, Crime","Germany, USA",5.5,21087
The Blob,1988,"Horror, Sci-Fi",USA,6.4,21094
Entourage,2015,Comedy,USA,7.2,21106
Gettysburg,1993,"Drama, History, War",USA,7.7,21109
Babylon 5,1994�1998,"Action, Adventure, Drama",USA,8.2,21109
You Can Count on Me,2000,Drama,USA,7.7,21119
Mannequin,1987,"Comedy, Fantasy, Romance",USA,5.7,21124
Dead Again,1991,"Crime, Drama, Mystery",USA,7,21125
Angels in America,2003,"Drama, Fantasy","USA, Italy",8.3,21126
Raw Deal,1986,"Action, Crime, Thriller","USA, Netherlands",5.4,21140
SLC Punk!,1998,"Comedy, Drama, Music",USA,7.5,21143
Batman: The Movie,1966,"Adventure, Comedy, Family",USA,6.5,21152
Angels in America,2003,"Drama, Fantasy","USA, Italy",8.3,21161
Bulworth,1998,"Comedy, Drama, Romance",USA,6.8,21165
Sergente Rex,2017,"Biography, Drama, War",USA,7.1,21165
Sophie Scholl: The Final Days,2005,"Biography, Crime, Drama",Germany,7.7,21197
The Lost Room,2006,"Action, Fantasy, Mystery",USA,8.3,21199
Tiger Zinda Hai,2017,"Action, Adventure, Thriller",India,5.9,21205
Red Sea Diving,2019,"Drama, History, Thriller",Canada,6.6,21208
A Love Song for Bobby Long,2004,Drama,USA,7.2,21210
RockStar,2011,"Music, Musical",India,7.6,21223
Beyond Borders,2003,"Adventure, Drama, Romance","USA, Germany",6.4,21235
Universal Soldier: Regeneration,2009,"Action, Adventure, Sci-Fi",USA,5.2,21261
The Oxford Murders,2008,"Crime, Mystery, Thriller","Spain, UK, France",6.1,21261
Happy New Year,2014,"Action, Comedy, Crime",India,5.5,21270
Death Note,2006,"Adventure, Crime, Drama",Japan,8,21272
Things to Do in Denver When You're Dead,1995,"Crime, Drama",USA,6.8,21287
Undisputed 2: Last Man Standing,2006,"Action, Crime, Drama",USA,7.1,21294
12 Rounds,2009,"Action, Crime, Thriller",USA,5.6,21323
The Fearless Vampire Killers,1967,"Comedy, Horror","USA, UK",7.3,21328
Naked,1993,"Comedy, Drama",UK,7.9,21336
Take the Money and Run,1969,"Comedy, Crime",USA,7.3,21343
Article 15,2019,"Crime, Drama, Mystery",India,8.2,21343
Dragon Ball Super: Broly,2018,"Animation, Action, Adventure",Japan,7.9,21368
Aftermath - La vendetta,2017,"Drama, Thriller","UK, USA",5.6,21375
Step Up All In,2014,"Drama, Music, Romance",USA,5.9,21376
The Hunting Party,2007,"Adventure, Comedy, Drama","USA, Croatia, Bosnia and Herzegovina",6.9,21379
Singles,1992,"Comedy, Drama, Romance",USA,6.7,21381
The Secret of My Succe$s,1987,Comedy,USA,6.4,21390
The Warrior's Way,2010,"Action, Fantasy, Western","New Zealand, South Korea",6.3,21392
The Man Without a Face,1993,Drama,USA,6.7,21395
P.S. Ti amo ancora,2020,"Comedy, Drama, Romance",USA,6.0,21400
The Way of the Dragon,1972,"Action, Comedy, Crime",Hong Kong,7.3,21405
Dora e la città perduta,2019,"Adventure, Comedy, Family","USA, Mexico, Australia",6.1,21413
Nosferatu the Vampyre,1979,Horror,"West Germany, France",7.6,21413
A Guide to Recognizing Your Saints,2006,"Crime, Drama",USA,7.1,21415
The Watcher,2000,"Crime, Horror, Mystery",USA,5.3,21418
Live Flesh,1997,"Drama, Romance, Thriller","Spain, France",7.5,21424
Battle for the Planet of the Apes,1973,"Action, Sci-Fi",USA,5.5,21437
"Mystery, Alaska",1999,"Comedy, Drama, Sport","Canada, USA",6.6,21437
*batteries not included,1987,"Comedy, Drama, Family",USA,6.5,21448
Nell,1994,Drama,USA,6.5,21448
Paper Moon,1973,"Comedy, Crime, Drama",USA,8.2,21470
Berlin Syndrome - In Ostaggio,2017,"Drama, Horror, Mystery",Australia,6.3,21475
Escape from the Planet of the Apes,1971,"Action, Sci-Fi",USA,6.3,21476
Andrei Rublev,1966,"Biography, Drama, History",Soviet Union,8.4,21476
Firestarter,1984,"Action, Horror, Sci-Fi",USA,6,21481
Jolly LLB 2,2017,"Comedy, Drama",India,7.2,21481
El bar,2017,"Comedy, Horror, Thriller","Spain, Argentina",6.3,21496
Kill Your Darlings,2013,"Biography, Drama, Romance",USA,6.5,21501
Love Story,1970,"Drama, Romance",USA,6.9,21515
Riding in Cars with Boys,2001,"Biography, Comedy, Drama",USA,6.5,21526
Freeway,1996,"Comedy, Crime, Drama","USA, France",6.9,21535
Cold in July,2014,"Crime, Thriller","USA, France",6.8,21536
Can't Buy Me Love,1987,"Comedy, Drama, Romance",USA,6.7,21537
Nosferatu the Vampyre,1979,Horror,"West Germany, France",7.6,21537
Interstate 60: Episodes of the Road,2002,"Adventure, Comedy, Drama","Canada, USA",7.7,21556
Conquest of the Planet of the Apes,1972,"Action, Sci-Fi",USA,6.1,21562
Dressed to Kill,1980,"Drama, Mystery, Thriller",USA,7.1,21568
A Mighty Wind,2003,"Comedy, Music",USA,7.3,21568
Regarding Henry,1991,Drama,USA,6.7,21585
Death Race 2,2010,"Action, Sci-Fi, Thriller","South Africa, Germany",5.7,21594
Tales from Earthsea,2006,"Animation, Adventure, Fantasy",Japan,6.5,21599
Vampire Hunter D: Bloodlust,2000,"Animation, Action, Adventure","Japan, USA",7.8,21600
The Normal Heart,2014,Drama,USA,8,21606
Mighty Joe Young,1998,"Action, Adventure, Family",USA,5.5,21610
The People Under the Stairs,1991,"Comedy, Horror, Mystery",USA,6.3,21611
Maximum Overdrive,1986,"Action, Comedy, Horror",USA,5.4,21613
Gunjan Saxena: The Kargil Girl,2020,"Action, Biography, Drama",India,5.2,21614
To Have and Have Not,1944,"Adventure, Comedy, Romance",USA,8,21615
Muppets Most Wanted,2014,"Adventure, Comedy, Crime",USA,6.5,21624
"Blood In, Blood Out",1993,"Crime, Drama",USA,7.9,21645
Countdown,2019,"Horror, Thriller",USA,5.4,21646
Hector and the Search for Happiness,2014,"Adventure, Comedy, Drama","Germany, Canada, UK, South Africa",6.9,21659
Win a Date with Tad Hamilton!,2004,"Comedy, Romance",USA,5.6,21660
Heavy Metal,1981,"Animation, Adventure, Fantasy",Canada,6.7,21662
And Now for Something Completely Different,1971,Comedy,UK,7.6,21666
Body Heat,1981,"Crime, Drama, Thriller",USA,7.4,21696
Una donna fantastica,2017,Drama,Chile,7.2,21712
Suicide Kings,1997,"Comedy, Drama, Mystery",USA,7,21720
Henry: Portrait of a Serial Killer,1986,"Crime, Drama, Horror",USA,7.1,21726
Jiro Dreams of Sushi,2011,Documentary,USA,7.9,21726
Il sole a mezzanotte - Midnight Sun,2018,"Drama, Romance",USA,6.6,21727
Suspicion,1941,"Mystery, Thriller",USA,7.5,21727
The Voices,2014,"Comedy, Crime, Horror","USA, Germany",6.3,21729
Tequila Sunrise,1988,"Crime, Drama, Romance",USA,6,21757
The Lego Ninjago Movie,2017,"Animation, Action, Adventure","USA, Denmark, Australia",6.0,21770
Il re di Staten Island,2020,"Comedy, Drama",USA,7.1,21774
Krull,1983,"Action, Adventure, Fantasy","UK, USA",6,21784
The Perfect Man,2005,"Comedy, Family, Romance",USA,5.5,21785
The Double,2011,"Action, Crime, Drama",USA,5.9,21785
New Jack City,1991,"Action, Crime, Drama",USA,6.6,21790
Erased,2012,"Action, Thriller","USA, Canada, Belgium, UK",6.1,21803
The Truth About Cats & Dogs,1996,"Comedy, Romance",USA,6.3,21815
Mesrine Part 2: Public Enemy #1,2008,"Action, Biography, Crime","France, Canada",7.5,21818
Looney Tunes: Back in Action,2003,"Animation, Adventure, Comedy","Germany, USA",5.7,21834
Money Talks,1997,"Action, Comedy, Crime",USA,6.1,21836
Roger & Me,1989,Documentary,USA,7.5,21837
Memphis Belle,1990,"Action, Drama, War","UK, Japan, USA",6.9,21840
Attraverso i miei occhi,2019,"Comedy, Drama, Romance",USA,7.6,21842
Sid and Nancy,1986,"Biography, Drama, Music",UK,7.1,21850
Blown Away,1994,"Action, Crime, Drama",USA,6.1,21856
Mesrine Part 2: Public Enemy #1,2008,"Action, Biography, Crime","France, Canada",7.5,21862
Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance",India,8.2,21876
Oscar,1991,"Comedy, Crime",USA,6.3,21884
Pollock,2000,"Biography, Drama",USA,7,21890
Last Flag Flying,2017,"Comedy, Drama, War",USA,6.9,21894
Les visiteurs,1993,"Comedy, Fantasy, Sci-Fi",France,7,21905
Wildlife,2018,Drama,USA,6.8,21929
The Warlords,2007,"Action, Drama, History","Hong Kong, China",7.1,21936
Kagemusha,1980,"Drama, History, War","Japan, USA",8,21937
Waiting for Guffman,1996,Comedy,USA,7.6,21975
Waiting for Guffman,1996,Comedy,USA,7.6,21975
The Stepfather,2009,"Crime, Mystery, Thriller",USA,5.5,21988
Critters,1986,"Action, Comedy, Horror",USA,6,21996
The Lion in Winter,1968,"Drama, History","UK, USA",8.2,21996
The Hidden Fortress,1958,"Adventure, Drama",Japan,8.1,21998
The Machine,2013,"Sci-Fi, Thriller",UK,6.1,22011
The Prodigy - Il figlio del male,2019,"Horror, Mystery, Thriller","USA, Canada",5.8,22022
The Many Adventures of Winnie the Pooh,1977,"Animation, Family, Musical",USA,7.6,22026
Hatchet,2006,"Comedy, Horror",USA,5.7,22043
Lone Star,1996,"Drama, Mystery, Romance",USA,7.6,22043
A Man for All Seasons,1966,"Biography, Drama, History",UK,7.9,22053
Marrowbone,2017,"Drama, Horror, Mystery","Spain, USA",6.7,22057
Child 44,2015,"Drama, Thriller","USA, UK, Czech Republic, Romania, Russia",6.4,22064
Hindi Medium,2017,"Comedy, Drama",India,7.8,22103
Jersey Boys,2014,"Biography, Drama, Music",USA,6.9,22104
Jimmy Neutron: Boy Genius,2001,"Animation, Action, Adventure",USA,6,22106
Harry and the Hendersons,1987,"Comedy, Family, Fantasy",USA,5.9,22115
Altered States,1980,"Horror, Sci-Fi, Thriller",USA,6.9,22142
Cry_Wolf,2005,"Drama, Horror, Mystery",USA,5.9,22159
American Dreamz,2006,"Comedy, Music",USA,5.5,22181
Jersey Boys,2014,"Biography, Drama, Music",USA,6.9,22181
Radio Days,1987,Comedy,USA,7.6,22183
La genesi di Wonder Woman,2017,"Biography, Drama",USA,7.1,22189
Henry V,1989,"Action, Biography, Drama",UK,7.8,22195
Loser,2000,"Comedy, Romance",USA,5.2,22202
Young Guns II,1990,Western,USA,6.4,22206
Playing for Keeps,2012,"Comedy, Romance, Sport",USA,5.7,22207
A Civil Action,1998,Drama,USA,6.5,22221
The Lion King 1 1/2,2004,"Animation, Comedy, Family","Australia, USA",6.6,22221
Leviathan,2014,Drama,Russia,7.7,22225
