title,year,genre,country,imdbRating,imdbVotes
Tremors 3: Back to Perfection,2001,"Action, Comedy, Horror",USA,5.4,10236
One Crazy Summer,1986,"Comedy, Romance",USA,6.4,10237
Zulu,2013,"Crime, Drama, Thriller","France, South Africa",6.7,10238
The Jungle Book 2,2003,"Adventure, Animation, Family","USA, Australia",5.3,10248
Seconds,1966,"Drama, Mystery, Sci-Fi",USA,7.7,10255
Paradise Hills,2019,"Fantasy, Sci-Fi, Thriller","Spain, USA",5.6,10257
Unlawful Entry,1992,"Crime, Drama, Thriller","Japan, USA",6.2,10262
Marshland,2014,"Crime, Thriller",Spain,7.4,10263
The Entity,1982,"Biography, Drama, Horror",USA,6.6,10266
Twelve,2010,"Action, Crime, Drama","USA, France",5.7,10268
Palindromes,2004,"Comedy, Drama",USA,6.8,10275
The Keeper of Lost Causes,2013,"Crime, Mystery, Thriller","Denmark, Germany, Sweden, Norway",7.1,10276
The Lifeguard,2013,"Drama, Romance",USA,5.7,10278
Excess Baggage,1997,"Action, Comedy, Crime",USA,5.2,10287
The Private Lives of Pippa Lee,2009,"Comedy, Drama, Romance",USA,6.4,10289
Made in Dagenham,2010,"Biography, Comedy, Drama",UK,7.2,10290
Thumbelina,1994,"Animation, Family, Fantasy","Ireland, USA",6.3,10291
Adult World,2013,Comedy,USA,6.1,10293
Another Stakeout,1993,"Action, Comedy, Crime",USA,5.5,10294
No Good Deed,2014,"Crime, Thriller",USA,5.6,10294
Shocker,1989,"Comedy, Horror, Thriller",USA,5.4,10298
Billionaire Boys Club,2018,"Biography, Drama, Thriller",USA,5.6,10299
The Shrine,2010,Horror,Canada,5.6,10299
Side by Side,2012,Documentary,USA,7.7,10302
Smokey and the Bandit II,1980,"Action, Comedy",USA,5.1,10307
Koi... Mil Gaya,2003,"Drama, Fantasy, Romance",India,7.1,10307
A Dirty Shame,2004,Comedy,USA,5.1,10311
Wanted,2009,"Action, Comedy, Crime",India,6.7,10312
Animal Factory,2000,"Crime, Drama",USA,6.6,10314
Welcome to Mooseport,2004,"Comedy, Romance","USA, Germany",5.2,10315
High School High,1996,"Comedy, Crime, Romance",USA,5.4,10317
Adult World,2013,Comedy,USA,6.1,10324
Tyson,2008,"Documentary, Sport","USA, France",7.6,10341
Nowhere in Africa,2001,"Biography, Drama",Germany,7.7,10343
Johnny Dangerously,1984,"Action, Comedy, Crime",USA,6.4,10346
Noelle,2019,"Comedy, Family, Fantasy",USA,6.3,10352
Rocco and His Brothers,1960,"Crime, Drama, Sport","Italy, France",8.3,10352
Alpha and Omega,2010,"Animation, Adventure, Comedy","USA, India, Canada",5.3,10356
Lie with Me,2005,"Drama, Romance",Canada,5.5,10356
Jalla! Jalla!,2000,"Comedy, Drama, Romance",Sweden,6.9,10359
L'Eclisse,1962,Drama,"Italy, France",7.9,10360
The Girl on the Bridge,1999,"Comedy, Drama, Romance",France,7.7,10362
Read My Lips,2001,"Crime, Drama, Romance",France,7.4,10363
Postcards from the Edge,1990,"Comedy, Drama",USA,6.6,10365
The Ladies Man,2000,Comedy,USA,5.1,10366
Johnny Guitar,1954,"Drama, Western",USA,7.7,10366
Dragon Hunters,2008,"Animation, Adventure, Family","France, Luxembourg, Germany",6.6,10369
Summer Heights High,2007�,"Comedy, Drama, Family",Australia,8.5,10372
Being Julia,2004,"Comedy, Drama, Romance","Canada, USA, Hungary, UK",7.1,10374
Dragon Hunters,2008,"Animation, Adventure, Family","France, Luxembourg, Germany",6.6,10375
Bait,2012,"Action, Horror, Sci-Fi","Australia, Singapore",5.2,10381
Resident Evil: Vendetta,2017,"Animation, Action, Adventure",Japan,6.3,10384
Burnt by the Sun,1994,"Drama, History, War","Russia, France",8,10385
The Last Summer,2019,Comedy,USA,5.6,10392
Van Wilder: Freshman Year,2009,Comedy,USA,5.3,10396
3 from Hell,2019,Horror,USA,5.5,10404
The Little Mermaid 2: Return to the Sea,2000,"Animation, Drama, Family","USA, Canada, Australia",5.6,10408
Section 375,2019,"Drama, Mystery",India,8.1,10409
Shade,2003,"Crime, Thriller",USA,6.4,10411
Memories,1995,"Animation, Fantasy, Sci-Fi",Japan,7.6,10412
Fun Size,2012,"Adventure, Comedy",USA,5.4,10414
Au Hasard Balthazar,1966,Drama,"France, Sweden",7.9,10418
The Business,2005,"Crime, Drama, Thriller","UK, Spain",6.7,10421
Rock On!!,2008,"Drama, Music",India,7.9,10425
Barefoot in the Park,1967,"Comedy, Romance",USA,7,10426
Scarecrow,1973,Drama,USA,7.4,10428
Playing It Cool,2014,"Comedy, Romance",USA,6,10431
The Killing Room,2009,"Mystery, Thriller",USA,5.8,10433
Wolf Creek 2,2013,"Action, Horror, Thriller",Australia,6.1,10436
Yankee Doodle Dandy,1942,"Biography, Drama, Musical",USA,7.8,10436
Bang Bang You're Dead,2002,"Crime, Drama, Thriller","USA, Canada",8,10443
Prayers for Bobby,2009,"Biography, Drama",USA,8.1,10450
Vivegam,2017,"Action, Thriller",India,5.6,10451
Michael Jackson: Thriller,1983,"Short, Horror, Music",USA,8.6,10458
Night Shift,1982,Comedy,USA,6.5,10468
Right at Your Door,2006,"Drama, Thriller",USA,6.2,10471
L'altro volto della speranza,2017,"Comedy, Drama","Finland, Germany",7.2,10472
